SourceFile,proportion,median_rank,School,Normalized Proportion,Normalized Median Rank,Specialty
UPenn_match_list.csv,0.08547008547008547,15.0,UPenn,3.0719206370875267,-0.7493967579850147,Dermatology
Einstein_match_list.csv,0.0,,Einstein,-1.8927017568858484,,Diagnostic Radiology
Stanford_match_list.csv,0.0,,Stanford,-1.8927017568858484,,Diagnostic Radiology
University of Alabama_match_list.csv,0.006802721088435374,25.0,University of Alabama,-1.5760442638895862,-0.35455314200364285,Diagnostic Radiology
UNC_match_list.csv,0.013333333333333334,61.5,UNC,-1.2720530706131743,1.10252895565281,Diagnostic Radiology
Geisel (Dartmouth)_match_list.csv,0.0136986301369863,2.0,Geisel (Dartmouth),-1.2550489970166627,-1.2727144638145582,Diagnostic Radiology
UWashington_match_list.csv,0.01606425702811245,66.5,UWashington,-1.1449322553525063,1.302129243003009,Diagnostic Radiology
OhioState_match_list.csv,0.022099447513812154,26.5,OhioState,-0.8640022768758915,-0.29467305579858316,Diagnostic Radiology
UChicago_match_list.csv,0.022988505747126436,9.5,UChicago,-0.8226178150364105,-0.9733140327892598,Diagnostic Radiology
Emory_match_list.csv,0.02702702702702703,12.0,Emory,-0.63463009552232,-0.8735138891141603,Diagnostic Radiology
Hopkins_match_list.csv,0.02857142857142857,9.0,Hopkins,-0.5627402863015469,-0.9932740615242797,Diagnostic Radiology
UCSD_match_list.csv,0.028985507246376812,10.5,UCSD,-0.5434654823800353,-0.93339397531922,Diagnostic Radiology
Colorado_match_list.csv,0.03007518796992481,37.0,Colorado,-0.49274231416553116,0.12448754763683478,Diagnostic Radiology
UCLA_match_list.csv,0.03125,26.5,UCLA,-0.4380563984342687,-0.29467305579858316,Diagnostic Radiology
Northwestern_match_list.csv,0.03225806451612903,16.0,Northwestern,-0.39113235461325,-0.7138336592340011,Diagnostic Radiology
UMich_match_list.csv,0.03225806451612903,8.0,UMich,-0.39113235461325,-1.0331941189943195,Diagnostic Radiology
Columbia_match_list.csv,0.032520325203252036,28.5,Columbia,-0.3789244732939604,-0.21483294085850355,Diagnostic Radiology
Pitt_match_list.csv,0.034482758620689655,33.5,Pitt,-0.28757584411169146,-0.015232653508304527,Diagnostic Radiology
